2026-05-04 01:37:36,624 - bot.exchange - ERROR - Error fetching balance: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:37:36,888 - bot.exchange - ERROR - Error fetching OHLCV for BTC/USDT: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:37:47,157 - bot.exchange - ERROR - Error fetching balance: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:37:47,422 - bot.exchange - ERROR - Error fetching OHLCV for BTC/USDT: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:37:57,691 - bot.exchange - ERROR - Error fetching balance: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:37:57,952 - bot.exchange - ERROR - Error fetching OHLCV for BTC/USDT: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:38:08,215 - bot.exchange - ERROR - Error fetching balance: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:38:08,478 - bot.exchange - ERROR - Error fetching OHLCV for BTC/USDT: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:38:18,864 - bot.exchange - ERROR - Error fetching balance: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:38:19,130 - bot.exchange - ERROR - Error fetching OHLCV for BTC/USDT: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:38:29,405 - bot.exchange - ERROR - Error fetching balance: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:38:29,666 - bot.exchange - ERROR - Error fetching OHLCV for BTC/USDT: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:38:39,940 - bot.exchange - ERROR - Error fetching balance: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:38:40,202 - bot.exchange - ERROR - Error fetching OHLCV for BTC/USDT: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:38:50,471 - bot.exchange - ERROR - Error fetching balance: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:38:50,735 - bot.exchange - ERROR - Error fetching OHLCV for BTC/USDT: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:39:01,004 - bot.exchange - ERROR - Error fetching balance: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:39:01,268 - bot.exchange - ERROR - Error fetching OHLCV for BTC/USDT: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:39:11,616 - bot.exchange - ERROR - Error fetching balance: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:39:11,879 - bot.exchange - ERROR - Error fetching OHLCV for BTC/USDT: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:39:22,163 - bot.exchange - ERROR - Error fetching balance: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:39:22,425 - bot.exchange - ERROR - Error fetching OHLCV for BTC/USDT: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:39:32,690 - bot.exchange - ERROR - Error fetching balance: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:39:32,953 - bot.exchange - ERROR - Error fetching OHLCV for BTC/USDT: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:39:43,215 - bot.exchange - ERROR - Error fetching balance: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:39:43,566 - bot.exchange - ERROR - Error fetching OHLCV for BTC/USDT: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:39:53,836 - bot.exchange - ERROR - Error fetching balance: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:39:54,096 - bot.exchange - ERROR - Error fetching OHLCV for BTC/USDT: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:40:04,455 - bot.exchange - ERROR - Error fetching balance: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:40:04,715 - bot.exchange - ERROR - Error fetching OHLCV for BTC/USDT: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:40:15,002 - bot.exchange - ERROR - Error fetching balance: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:40:15,260 - bot.exchange - ERROR - Error fetching OHLCV for BTC/USDT: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:40:25,535 - bot.exchange - ERROR - Error fetching balance: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:40:25,800 - bot.exchange - ERROR - Error fetching OHLCV for BTC/USDT: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:40:36,063 - bot.exchange - ERROR - Error fetching balance: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
